Block,Unnamed: 1,COURSE,Level,MAJOR,SECTN,OFFERNO,CRSNO,DAYS,ROOM,CLASS TYPE,UNITS,DESCRIPTIVE TITLE,DEPT,CLASS SIZE,START_TIME,END_TIME
23,,BSA,2,,A,B008,AnSc 22n,MTh,DAS-5,Lec,2,INTRO. TO LIVESTOCK & POULTRY PRODN,DAS,40,14:00,15:00
23,,BSA,2,,A,B157,AnSc 22n,W,DAS-1,Lab,1,INTRO. TO LIVESTOCK & POULTRY PRODN,DAS,20,13:00,16:00
23,,BSA,2,,A,C174,AgSc 13,MTh,DA PSB Rm-2,Lec,3,INTRODUCTION TO ECOLOGICAL AGRICULTURE,DA,40,11:30,13:00
23,,BSA,2,,A,L055,Biol 22p,TF,DPBG-LH,Lec,2,PRINCIPLES OF GENETICS,DPBG,40,14:00,15:00
23,,BSA,2,,A,L056,Biol 22p,W,DPBG LR-1,Lab,1,PRINCIPLES OF GENETICS,DPBG,20,16:00,19:00
23,,BSA,2,,A,M044,ScSc 12n,MTH,DTHM-DEMO ROOM,Lec,3,READINGS IN PHILIPPINE HISTORY,DPSS,40,16:00,17:30
23,,BSA,2,,A,P004,AgSc 12,MTh,ECON-235,Lec,3,AGRICULTURAL ECONOMICS AND MARKETING,DOE,40,17:30,19:00
23,,BSA,2,,A,R160,Chem 131,TF,SLH,Lec,3,BIOCHEMISTRY (Lec),DOPAC,40,11:30,13:00
23,,BSA,2,,A,S028,Micr 22,TF,DPM 101,Lec,2,GENERAL MICROBIOLOGY,DPM,40,17:00,18:00
23,,BSA,2,,A,S037,Micr 22,W,DA PSB Rm-1,Lab,1,GENERAL MICROBIOLOGY,DPM,20,10:00,13:00
23,,BSA,2,,A,S045,CPrt 22,MTh,DA Rm-202,Lec,2,APPROACHES AND PRACTICES IN PEST MGT.,DPM,40,08:00,09:00
23,,BSA,2,,A,S255,CPrt 22,T,DPM-107,Lab,1,APPROACHES AND PRACTICES IN PEST MGT.,DPM,20,07:00,10:00
23,,BSA,2,,A,W063,PhEd 13n,TF,IHK-Conf. Rm,Lec,2,PHYSICAL ACTIVITIES TOWARDS HLTH & FIT.I,IHK,30,16:00,17:00
24,,BSA,2,,B,B009,AnSc 22n,MTH,DAS-6,Lec,2,INTRO. TO LIVESTOCK & POULTRY PRODN,DAS,40,16:00,17:00
24,,BSA,2,,B,B152,AnSc 22n,W,DAS MEAT LABORATORY,Lab,1,INTRO. TO LIVESTOCK & POULTRY PRODN,DAS,20,10:00,13:00
24,,BSA,2,,B,C175,AgSc 13,TF,DA Rm-203,Lec,3,INTRODUCTION TO ECOLOGICAL AGRICULTURE,DA,40,11:30,13:00
24,,BSA,2,,B,L048,Biol 22p,MTh,DPBG-LH,Lec,2,PRINCIPLES OF GENETICS,DPBG,40,12:00,13:00
24,,BSA,2,,B,L057,Biol 22p,W,DBS-104,Lab,1,PRINCIPLES OF GENETICS,DPBG,20,07:00,10:00
24,,BSA,2,,B,M335,ScSc 12n,MTH,DPSS-13D,Lec,3,READINGS IN PHILIPPINE HISTORY,DPSS,40,17:30,19:00
